No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
2;0,119162;162.159.130.234;192,168,100,21;TLSv1,2;271;Application Data;;0,119162;0,173849;0,054687;;0,04036;0,014327;-0,026033
4;0,173849;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=1 Ack=218 Win=508 Len=0;;0,173849;0,188176;0,014327;;0,009555;0,004772;-0,004783
5;0,188176;162.159.130.234;192,168,100,21;TLSv1,2;215;Application Data;;0,188176;0,192948;0,004772;;-0,037731;0,042503;0,080234
6;0,192948;50,116,58,41;192,168,100,21;TCP;68;8443  >  51145 [ACK] Seq=1 Ack=1 Win=165 Len=0 SLE=4294967269 SRE=1;;0,192948;0,235451;0,042503;;-0,003304;0,045807;0,049111
7;0,235451;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=1 Ack=379 Win=514 Len=0;;0,235451;0,281258;0,045807;;-0,115169;0,160976;0,276145
8;0,281258;192,168,100,21;157,240,218,60;TLSv1,2;93;Application Data;;0,281258;0,442234;0,160976;;0,103021;0,057955;-0,045066
10;0,442234;192,168,100,21;162.159.130.234;TLSv1,2;108;Application Data;;0,442234;0,500189;0,057955;;0,013752;0,044203;0,030451
11;0,500189;162.159.130.234;192,168,100,21;TLSv1,2;266;Application Data;;0,500189;0,544392;0,044203;;0,017594;0,026609;0,009015
12;0,544392;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=591 Win=513 Len=0;;0,544392;0,571001;0,026609;;0,026605;4E-06;-0,026601
13;0,571001;162.159.130.234;192,168,100,21;TLSv1,2;254;Application Data;;0,571001;0,571005;4E-06;;-0,000119;0,000123;0,000242
14;0,571005;162.159.130.234;192,168,100,21;TCP;1078;443  >  61541 [ACK] Seq=791 Ack=1 Win=75 Len=1024 [TCP segment of a reassembled PDU];;0,571005;0,571128;0,000123;;9E-06;0,000114;0,000105
15;0,571128;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=1815 Win=514 Len=0;;0,571128;0,571242;0,000114;;0,000109;5E-06;-0,000104
16;0,571242;162.159.130.234;192,168,100,21;TCP;1078;443  >  61541 [ACK] Seq=1815 Ack=1 Win=75 Len=1024 [TCP segment of a reassembled PDU];;0,571242;0,571247;5E-06;;-5,6E-05;6,1E-05;0,000117
17;0,571247;162.159.130.234;192,168,100,21;TCP;1078;443  >  61541 [ACK] Seq=2839 Ack=1 Win=75 Len=1024 [TCP segment of a reassembled PDU];;0,571247;0,571308;6,1E-05;;-0,018214;0,018275;0,036489
18;0,571308;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=3863 Win=514 Len=0;;0,571308;0,589583;0,018275;;0,017576;0,000699;-0,016877
19;0,589583;192,168,100,21;157,240,218,60;TCP;93;[TCP Retransmission] 62415  >  443 [PSH, ACK] Seq=1 Ack=1 Win=514 Len=39;;0,589583;0,590282;0,000699;;0,000551;0,000148;-0,000403
20;0,590282;162.159.130.234;192,168,100,21;TLSv1,2;76;Application Data;;0,590282;0,59043;0,000148;;-0,137655;0,137803;0,275458
21;0,59043;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=3884 Win=513 Len=0;;0,59043;0,728233;0,137803;;-0,030666;0,168469;0,199135
22;0,728233;192,168,100,21;162.159.130.234;TCP;108;[TCP Retransmission] 61541  >  443 [PSH, ACK] Seq=1 Ack=3884 Win=513 Len=54;;0,728233;0,896702;0,168469;;0,03091;0,137559;0,106649
24;0,896702;192,168,100,21;157,240,218,60;TCP;93;[TCP Retransmission] 62415  >  443 [PSH, ACK] Seq=1 Ack=1 Win=514 Len=39;;0,896702;1,03426;0,137559;;0,122424;0,015135;-0,107289
26;1,03426;192,168,100,21;162.159.130.234;TCP;108;[TCP Retransmission] 61541  >  443 [PSH, ACK] Seq=1 Ack=3884 Win=513 Len=54;;1,03426;1,04940;0,015135;;0,015129;6E-06;-0,015123
